"Name_Poetry_Books_name","Name_Poetry_Books_url","Name_Poetry_Books_Author","Name_Poetry_Books_Price","Name_Poetry_Books_Type_Copy","Name_Poetry_Books_Reviews","Name_Poetry_Books_Formats_Available","Name_Poetry_Books_Genre","Name_Poetry_Books_Product_details_Publisher","Name_Poetry_Books_Product_details_Language","Name_Poetry_Books_extract1"
"The Written World: The Power of Stories to…","https://www.amazon.com/Written-World-Stories-History-Civilization-ebook/dp/B06VXP1SYW/ref=zg_bs_10248_1/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Martin Puchner","$1.99
Save $18.01 (90%)","Kindle Edition","43 customer reviews","","Historical Biographies","Publisher: Random House; Reprint edition (October 24, 2017)","","The Written World: The Power of Stories to…"
"The Written World: The Power of Stories to…","https://www.amazon.com/Written-World-Stories-History-Civilization-ebook/dp/B06VXP1SYW/ref=zg_bs_10248_1/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Martin Puchner","$1.99
Save $18.01 (90%)","Kindle Edition","43 customer reviews","","Historical Biographies","","English","The Written World: The Power of Stories to…"
"Gmorning, Gnight!: Little Pep Talks for Me &…","https://www.amazon.com/Gmorning-Gnight-Little-Pep-Talks/dp/1984854275/ref=zg_bs_10248_2/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Lin-Manuel Miranda","$13.20","Hardcover","41 customer reviews","","Self-Esteem","Language: English","","Gmorning, Gnight!: Little Pep Talks for Me &…"
"Gmorning, Gnight!: Little Pep Talks for Me &…","https://www.amazon.com/Gmorning-Gnight-Little-Pep-Talks/dp/1984854275/ref=zg_bs_10248_2/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Lin-Manuel Miranda","$13.20","Hardcover","41 customer reviews","","Self-Esteem","","English","Gmorning, Gnight!: Little Pep Talks for Me &…"
"The Sun and Her Flowers","https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur-ebook/dp/B073VTX3TW/ref=zg_bs_10248_3/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$8.49
Save $8.50 (50%)","Kindle Edition","980 customer reviews","Divided into five chapters and illustrated by Kaur, the sun and her flowers is a journey of wilting, falling, rooting, rising, and blooming. A celebration of love in all its forms.
this is the recipe of life
said my mother
as she held me in her arms as i wept
think of those flowers you plant
in the garden each year
they will teach you
that people too
must wilt
fall
root
rise
in order to bloom","Gothic & Romantic Literary Criticism","Page Numbers Source ISBN: 1449486797","","The Sun and Her Flowers"
"The Sun and Her Flowers","https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur-ebook/dp/B073VTX3TW/ref=zg_bs_10248_3/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$8.49
Save $8.50 (50%)","Kindle Edition","980 customer reviews","Divided into five chapters and illustrated by Kaur, the sun and her flowers is a journey of wilting, falling, rooting, rising, and blooming. A celebration of love in all its forms.
this is the recipe of life
said my mother
as she held me in her arms as i wept
think of those flowers you plant
in the garden each year
they will teach you
that people too
must wilt
fall
root
rise
in order to bloom","Gothic & Romantic Literary Criticism","","English","The Sun and Her Flowers"
"I hope this reaches her in time","https://www.amazon.com/hope-this-reaches-her-time/dp/1979772304/ref=zg_bs_10248_4/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","$3.80","Paperback","458 customer reviews","","African American Poetry","Language: English","","I hope this reaches her in time"
"I hope this reaches her in time","https://www.amazon.com/hope-this-reaches-her-time/dp/1979772304/ref=zg_bs_10248_4/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","$3.80","Paperback","458 customer reviews","","African American Poetry","","English","I hope this reaches her in time"
"Pillow Thoughts","https://www.amazon.com/Pillow-Thoughts-Courtney-Peppernell-ebook/dp/B0732M5YYT/ref=zg_bs_10248_5/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Courtney Peppernell","$8.49
Save $8.50 (50%)","Kindle Edition","184 customer reviews","Pillow Thoughts is a collection of poetry and prose about heartbreak, love, and raw emotions. It is divided into sections to read when you feel you need them most.","Gay & Lesbian Poetry","Publisher: Andrews McMeel Publishing (August 29, 2017)","","Pillow Thoughts"
"Pillow Thoughts","https://www.amazon.com/Pillow-Thoughts-Courtney-Peppernell-ebook/dp/B0732M5YYT/ref=zg_bs_10248_5/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Courtney Peppernell","$8.49
Save $8.50 (50%)","Kindle Edition","184 customer reviews","Pillow Thoughts is a collection of poetry and prose about heartbreak, love, and raw emotions. It is divided into sections to read when you feel you need them most.","Gay & Lesbian Poetry","","English","Pillow Thoughts"
"Milk and Honey","https://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X/ref=zg_bs_10248_6/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$8.99","Paperback","5,715 customer reviews","#1 New York Times bestseller Milk and Honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity.
The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look.","Inspirational & Religious Poetry","Publisher: Andrews McMeel Publishing; Reprint edition (October 6, 2015)","","Milk and Honey"
"Milk and Honey","https://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X/ref=zg_bs_10248_6/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$8.99","Paperback","5,715 customer reviews","#1 New York Times bestseller Milk and Honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity.
The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look.","Inspirational & Religious Poetry","","English","Milk and Honey"
"Dr. Seuss's Beginner Book Collection (Cat in…","https://www.amazon.com/Seusss-Beginner-Collection-Green-Socks/dp/0375851569/ref=zg_bs_10248_7/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$25.62","Hardcover","1,384 customer reviews","","Poetry Anthologies","Lexile Measure: 0430 (What's this?)","","Dr. Seuss's Beginner Book Collection (Cat in…"
"Dr. Seuss's Beginner Book Collection (Cat in…","https://www.amazon.com/Seusss-Beginner-Collection-Green-Socks/dp/0375851569/ref=zg_bs_10248_7/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","$25.62","Hardcover","1,384 customer reviews","","Poetry Anthologies","","English","Dr. Seuss's Beginner Book Collection (Cat in…"
"The Sun and Her Flowers","https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797/ref=zg_bs_10248_8/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$12.74","Paperback","980 customer reviews","From Rupi Kaur, the #1 New York Times bestselling author of milk and honey, comes her long-awaited second collection of poetry. A vibrant and transcendent journey about growth and healing. Ancestry and honoring one’s roots. Expatriation and rising up to find a home within yourself. Divided into five chapters and illustrated by Kaur, the sun and her flowers is a journey of wilting, falling, rooting, rising, and blooming. A celebration of love in all its forms. this is the recipe of life said my mother as she held me in her arms as i wept think of those flowers you plant in the garden each year they will teach you that people too must wilt fall root rise in order to bloom","","Language: English","","The Sun and Her Flowers"
"The Sun and Her Flowers","https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797/ref=zg_bs_10248_8/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$12.74","Paperback","980 customer reviews","-''-","","","English","The Sun and Her Flowers"
"How the Grinch Stole Christmas! (Classic…","https://www.amazon.com/Grinch-Stole-Christmas-Classic-Seuss/dp/0394800796/ref=zg_bs_10248_9/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Dr. Seuss","$9.41","Hardcover","824 customer reviews","","","Lexile Measure: 510L (What's this?)","","How the Grinch Stole Christmas! (Classic…"
"How the Grinch Stole Christmas! (Classic…","https://www.amazon.com/Grinch-Stole-Christmas-Classic-Seuss/dp/0394800796/ref=zg_bs_10248_9/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Dr. Seuss","$9.41","Hardcover","824 customer reviews","","","","English","How the Grinch Stole Christmas! (Classic…"
"Where the Sidewalk Ends: Poems and…","https://www.amazon.com/Where-Sidewalk-Ends-Poems-Drawings/dp/0060256672/ref=zg_bs_10248_10/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Shel Silverstein","$13.19","Hardcover","1,701 customer reviews","","Children's Humorous Poetry","Lexile Measure: NP (What's this?)","","Where the Sidewalk Ends: Poems and…"
"Where the Sidewalk Ends: Poems and…","https://www.amazon.com/Where-Sidewalk-Ends-Poems-Drawings/dp/0060256672/ref=zg_bs_10248_10/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Shel Silverstein","$13.19","Hardcover","1,701 customer reviews","","Children's Humorous Poetry","","English","Where the Sidewalk Ends: Poems and…"
